Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.9,524545536,2904,180628.6,8064.0,1248,1656736,365698.5,cudaStreamSynchronize
13.7,120333376,1136,105927.3,2272.0,1088,115068608,3413911.7,cudaMalloc
7.1,62002784,5382,11520.4,14384.0,2496,37824,8556.7,cudaMemcpy
6.9,60479072,27728,2181.2,2112.0,1536,97024,783.5,cudaLaunchKernel
6.3,54889952,5458,10056.8,2016.0,1216,112768,14375.6,cudaMemcpyAsync
3.4,30054176,838,35864.2,41616.0,576,173184,16448.9,cudaDeviceSynchronize
1.1,9692256,1136,8531.9,7904.0,1440,147040,8280.1,cudaFree
1.0,9024064,5258,1716.3,1568.0,896,25376,684.5,cudaMemsetAsync
0.2,1402944,550,2550.8,2496.0,1888,26592,1056.4,cudaLaunchCooperativeKernel
0.1,1092480,550,1986.3,1952.0,1376,10400,443.2,cudaEventRecord
0.1,563616,32,17613.0,2288.0,1280,488064,85851.8,cudaHostAlloc
0.1,494752,32,15461.0,2496.0,1760,409760,71956.0,cudaFreeHost
0.0,424320,550,771.5,768.0,288,3424,254.2,cudaStreamWaitEvent
0.0,290208,2,145104.0,145104.0,4640,285568,198646.1,cudaMemcpyToSymbol
0.0,271168,10,27116.8,3104.0,2048,101088,39998.9,cudaStreamCreate
0.0,44864,10,4486.4,3024.0,2432,16448,4255.9,cudaStreamDestroy
0.0,3872,4,968.0,640.0,352,2240,868.7,cudaEventCreate
0.0,2656,4,664.0,384.0,288,1600,625.6,cudaEventDestroy
0.0,512,1,512.0,512.0,512,512,0.0,cuModuleGetLoadingMode
