Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.4,360799488,1452,248484.5,5984.0,4992,663232,310712.2,"adaptiveThresholdKernel(const unsigned char *, unsigned char *, int, int, float)"
14.9,90700448,550,164909.9,152848.0,11584,631552,69790.7,"cclPropagateCoopKernel(int *, int *, int, int, int, int)"
7.8,47178656,1452,32492.2,21008.0,3648,577184,42162.3,"cclStatsKernel(const int *, const int *, ComponentStats *, int, int)"
3.1,18847456,2690,7006.5,6464.0,3136,23296,2407.9,"cclPropagateKernel(int *, int *, int, int)"
3.0,18429664,551,33447.7,33152.0,32256,35424,796.6,"knnKernel(const float *, int, const float *, const int *, int, int *)"
1.9,11808704,2904,4066.4,2336.0,1696,9952,2339.1,"erodeKernel(const unsigned char *, unsigned char *, int, int)"
1.9,11530080,2904,3970.4,2272.0,1728,7168,2310.3,"dilateKernel(const unsigned char *, unsigned char *, int, int)"
1.4,8481344,1452,5841.1,4576.0,1376,88736,7425.1,"extractValueKernel(const unsigned char *, unsigned char *, int, int)"
1.2,7394816,1452,5092.8,2624.0,1984,9632,3301.4,"gaussianBlurKernel(const unsigned char *, unsigned char *, int, int)"
0.9,5351072,1452,3685.3,3264.0,2176,7264,935.2,"cclFlattenKernel(int *, int, int)"
0.8,4733280,1452,3259.8,2144.0,1664,11040,1706.6,"cclCompactKernel(const int *, int *, int *, int, int)"
0.6,3522272,1452,2425.8,1728.0,1280,3904,1012.3,"maximizeContrastKernel(const unsigned char *, const unsigned char *, const unsigned char *, unsigned char *, int, int)"
0.6,3513792,1452,2420.0,2432.0,2304,2560,45.8,"cclInitStatsKernel(ComponentStats *, int)"
0.6,3480128,1452,2396.8,1728.0,1248,3744,974.3,"cclInitKernel(const unsigned char *, int *, int, int)"
0.5,3110592,1452,2142.3,2144.0,1408,2688,159.6,"filterBlobsKernel(const ComponentStats *, const int *, FilteredBlob *, int *, int)"
0.4,2239552,902,2482.9,2208.0,1664,7168,777.4,"histogramKernel(const unsigned char *, int, int *)"
0.3,1866880,902,2069.7,2048.0,1696,2656,142.4,"warpCropKernel(const unsigned char *, int, int, unsigned char *, int, int, float, float, float)"
0.3,1671040,902,1852.6,1824.0,1472,2336,108.6,"applyThresholdKernel(const unsigned char *, unsigned char *, int, unsigned char)"
0.3,1603296,902,1777.5,1728.0,1536,2560,150.0,"resizeBilinearKernel(const unsigned char *, int, int, unsigned char *, int, int)"
0.2,1070816,551,1943.4,1952.0,1664,2400,131.5,"charROIResizeKernel(const unsigned char *, int, int, const Rect2i *, int, float *)"
