Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.5,377363220,2948,128006.5,4749.0,2374,2207219,316230.8,cudaStreamSynchronize
21.0,200322654,5546,36120.2,4749.0,2374,501047,84456.8,cudaMemcpyAsync
12.9,122966675,1158,106188.8,3562.0,1188,116258342,3416251.6,cudaMalloc
9.9,94658723,28207,3355.9,3562.0,1187,134166,1451.3,cudaLaunchKernel
5.1,48518454,5504,8815.1,8311.0,2374,162662,6030.1,cudaMemcpy
3.8,36518241,28207,1294.7,1187.0,0,34432,641.0,cuKernelGetName
2.4,23126522,5346,4325.9,4749.0,2374,36807,1265.3,cudaMemsetAsync
2.3,22347644,850,26291.3,28495.0,3561,219653,16973.7,cudaDeviceSynchronize
2.2,21273127,1158,18370.6,3562.0,1187,224403,27327.4,cudaFree
0.2,2184654,550,3972.1,3562.0,2374,26121,1274.3,cudaStreamWaitEvent
0.2,2126487,550,3866.3,3562.0,2374,54616,2762.9,cudaLaunchCooperativeKernel
0.2,1843903,550,3352.6,3562.0,2374,36807,2581.8,cudaEventRecord
0.1,714763,2,357381.5,357381.5,4749,710014,498697.7,cudaMemcpyToSymbol
0.0,326514,32,10203.6,3562.0,2374,205406,35638.5,cudaHostAlloc
0.0,212531,32,6641.6,3562.0,2374,98548,16839.6,cudaFreeHost
0.0,138917,10,13891.7,5937.0,4749,81925,24074.2,cudaStreamCreate
0.0,59366,10,5936.6,5936.5,3562,11873,2238.8,cudaStreamDestroy
0.0,24932,19,1312.2,1187.0,1187,2375,374.5,cuLibraryGetKernel
0.0,11874,4,2968.5,2375.0,1188,5936,2055.9,cudaEventCreate
0.0,5937,4,1484.3,1187.5,1187,2375,593.8,cudaEventDestroy
0.0,3562,1,3562.0,3562.0,3562,3562,0.0,cuModuleGetLoadingMode
