Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.5,121192015,1474,82219.8,7216.5,3488,450242,113595.3,"adaptiveThresholdKernel(const unsigned char *, unsigned char *, int, int, float)"
21.7,99089707,550,180163.1,142097.0,11680,802532,113687.9,"cclPropagateCoopKernel(int *, int *, int, int, int, int)"
13.1,59712430,1474,40510.5,22016.0,2816,399650,45850.2,"cclStatsKernel(const int *, const int *, ComponentStats *, int, int)"
6.7,30645036,2948,10395.2,2048.0,1312,53952,12755.4,"erodeKernel(const unsigned char *, unsigned char *, int, int)"
6.7,30470221,2948,10335.9,1984.0,1280,52385,12791.9,"dilateKernel(const unsigned char *, unsigned char *, int, int)"
5.0,22889851,1474,15529.1,2304.0,1472,82241,20080.9,"gaussianBlurKernel(const unsigned char *, unsigned char *, int, int)"
4.3,19731862,1474,13386.6,1600.0,928,198944,29719.1,"extractValueKernel(const unsigned char *, unsigned char *, int, int)"
3.5,15949612,562,28380.1,24928.0,24480,211105,12422.3,"knnKernel(const float *, int, const float *, const int *, int, int *)"
3.5,15890955,2751,5776.4,4992.0,2368,29056,2565.5,"cclPropagateKernel(int *, int *, int, int)"
1.9,8770444,1474,5950.1,2496.0,1408,28160,5640.8,"cclFlattenKernel(int *, int, int)"
1.5,7001791,1474,4750.2,1696.0,1056,25120,4974.6,"cclCompactKernel(const int *, int *, int *, int, int)"
1.4,6496612,1474,4407.5,1440.0,960,20288,4628.5,"maximizeContrastKernel(const unsigned char *, const unsigned char *, const unsigned char *, unsigned char *, int, int)"
1.4,6441115,1474,4369.8,1680.0,928,37024,4744.1,"cclInitKernel(const unsigned char *, int *, int, int)"
0.7,3071023,1474,2083.5,1792.0,1696,4736,714.4,"cclInitStatsKernel(ComponentStats *, int)"
0.6,2638699,1474,1790.2,1504.0,1056,4896,774.3,"filterBlobsKernel(const ComponentStats *, const int *, FilteredBlob *, int *, int)"
0.4,1816971,924,1966.4,1600.0,1088,9664,1000.1,"histogramKernel(const unsigned char *, int, int *)"
0.3,1597254,924,1728.6,1472.0,1184,6176,688.5,"warpCropKernel(const unsigned char *, int, int, unsigned char *, int, int, float, float, float)"
0.3,1530499,924,1656.4,1344.0,1024,8480,845.8,"resizeBilinearKernel(const unsigned char *, int, int, unsigned char *, int, int)"
0.3,1325477,924,1434.5,1184.0,992,5920,605.8,"applyThresholdKernel(const unsigned char *, unsigned char *, int, unsigned char)"
0.2,1065542,562,1896.0,1440.0,1216,8096,799.7,"charROIResizeKernel(const unsigned char *, int, int, const Rect2i *, int, float *)"
